date,anlage,kurs
2023-08-30,MSCI,77.95800018310547
2023-08-31,MSCI,78.5479965209961
2023-09-01,MSCI,78.90599822998047
2023-09-02,MSCI,78.90599822998047
2023-09-03,MSCI,78.90599822998047
2023-09-04,MSCI,78.90599822998047
2023-09-05,MSCI,79.2239990234375
2023-09-06,MSCI,78.56199645996094
2023-09-07,MSCI,78.46199798583984
2023-09-08,MSCI,78.63999938964844
2023-09-09,MSCI,78.63999938964844
2023-09-10,MSCI,78.63999938964844
2023-09-11,MSCI,78.6259994506836
2023-09-12,MSCI,78.69400024414062
2023-09-13,MSCI,78.6500015258789
2023-09-14,MSCI,79.64399719238281
2023-09-15,MSCI,79.26599884033203
2023-09-16,MSCI,79.26599884033203
2023-09-17,MSCI,79.26599884033203
2023-09-18,MSCI,78.91799926757812
2023-09-19,MSCI,78.5459976196289
2023-09-20,MSCI,78.78800201416016
2023-09-21,MSCI,77.53600311279297
2023-09-22,MSCI,77.48600006103516
2023-09-23,MSCI,77.48600006103516
2023-09-24,MSCI,77.48600006103516
2023-09-25,MSCI,77.44999694824219
2023-09-26,MSCI,76.80400085449219
2023-09-27,MSCI,76.99800109863281
2023-09-28,MSCI,77.16600036621094
2023-09-29,MSCI,77.27999877929688
2023-09-30,MSCI,77.27999877929688
2023-10-01,MSCI,77.27999877929688
2023-10-02,MSCI,77.19599914550781
2023-10-03,MSCI,76.22200012207031
2023-10-04,MSCI,75.98999786376953
2023-10-05,MSCI,76.0199966430664
2023-10-06,MSCI,76.46399688720703
2023-10-07,MSCI,76.46399688720703
2023-10-08,MSCI,76.46399688720703
2023-10-09,MSCI,76.95800018310547
2023-10-10,MSCI,78.01200103759766
2023-10-11,MSCI,77.6760025024414
2023-10-12,MSCI,78.31999969482422
2023-10-13,MSCI,77.8479995727539
2023-10-14,MSCI,77.8479995727539
2023-10-15,MSCI,77.8479995727539
2023-10-16,MSCI,78.19599914550781
2023-10-17,MSCI,78.03199768066406
2023-10-18,MSCI,77.58399963378906
2023-10-19,MSCI,76.7020034790039
2023-10-20,MSCI,75.35399627685547
2023-10-21,MSCI,75.35399627685547
2023-10-22,MSCI,75.35399627685547
2023-10-23,MSCI,75.0739974975586
2023-10-24,MSCI,75.47599792480469
2023-10-25,MSCI,75.14600372314453
2023-10-26,MSCI,74.5739974975586
2023-10-27,MSCI,73.9219970703125
2023-10-28,MSCI,73.9219970703125
2023-10-29,MSCI,73.9219970703125
2023-10-30,MSCI,73.99400329589844
2023-10-31,MSCI,74.61399841308594
2023-11-01,MSCI,75.47799682617188
2023-11-02,MSCI,76.60600280761719
2023-11-03,MSCI,77.0
2023-11-04,MSCI,77.0
2023-11-05,MSCI,77.0
2023-11-06,MSCI,76.75599670410156
2023-11-07,MSCI,77.25599670410156
2023-11-08,MSCI,76.9540023803711
2023-11-09,MSCI,77.29000091552734
2023-11-10,MSCI,77.13200378417969
2023-11-11,MSCI,77.13200378417969
2023-11-12,MSCI,77.13200378417969
2023-11-13,MSCI,77.64199829101562
2023-11-14,MSCI,78.1760025024414
2023-11-15,MSCI,78.41999816894531
2023-11-16,MSCI,77.9739990234375
2023-11-17,MSCI,78.30999755859375
2023-11-18,MSCI,78.30999755859375
2023-11-19,MSCI,78.30999755859375
2023-11-20,MSCI,78.30999755859375
2023-11-21,MSCI,78.36399841308594
2023-11-22,MSCI,79.02799987792969
2023-11-23,MSCI,78.98600006103516
2023-11-24,MSCI,78.83999633789062
2023-11-25,MSCI,78.83999633789062
2023-11-26,MSCI,78.83999633789062
2023-11-27,MSCI,78.7239990234375
2023-11-28,MSCI,78.52400207519531
2023-11-29,MSCI,78.6520004272461
2023-11-30,MSCI,78.9739990234375
2023-12-01,MSCI,79.81800079345703
2023-12-02,MSCI,79.81800079345703
2023-12-03,MSCI,79.81800079345703
2023-12-04,MSCI,79.81800079345703
2023-12-05,MSCI,79.81800079345703
2023-12-06,MSCI,79.81800079345703
2023-12-07,MSCI,80.37999725341797
2023-12-08,MSCI,80.85800170898438
2023-12-09,MSCI,80.85800170898438
2023-12-10,MSCI,80.85800170898438
2023-12-11,MSCI,81.13999938964844
2023-12-12,MSCI,81.13400268554688
2023-12-13,MSCI,81.4540023803711
2023-12-14,MSCI,81.39600372314453
2023-12-15,MSCI,81.96199798583984
2023-12-16,MSCI,81.96199798583984
2023-12-17,MSCI,81.96199798583984
2023-12-18,MSCI,81.99800109863281
2023-12-19,MSCI,82.0979995727539
2023-12-20,MSCI,82.37999725341797
2023-12-21,MSCI,81.74800109863281
2023-12-22,MSCI,82.05000305175781
2023-12-23,MSCI,82.05000305175781
2023-12-24,MSCI,82.05000305175781
2023-12-25,MSCI,82.05000305175781
2023-12-26,MSCI,82.05000305175781
2023-12-27,MSCI,81.75599670410156
2023-12-28,MSCI,82.0780029296875
2023-12-29,MSCI,82.26000213623047
2023-12-30,MSCI,82.26000213623047
2023-12-31,MSCI,82.26000213623047
2024-01-01,MSCI,82.26000213623047
2024-01-02,MSCI,82.21600341796875
2024-01-03,MSCI,81.84200286865234
2024-01-04,MSCI,81.7979965209961
